[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.562585

Silhouette trung bình theo từng cluster:
- Cluster 112: silhouette_mean=0.775246, so_diem=6
- Cluster 113: silhouette_mean=0.275075, so_diem=18
- Cluster 114: silhouette_mean=0.609575, so_diem=12
- Cluster 115: silhouette_mean=0.277540, so_diem=14
- Cluster 116: silhouette_mean=0.798146, so_diem=27
- Cluster 117: silhouette_mean=0.488498, so_diem=14
- Cluster 118: silhouette_mean=0.532438, so_diem=13
- Cluster 119: silhouette_mean=0.500864, so_diem=14
- Cluster 120: silhouette_mean=0.545245, so_diem=21
- Cluster 121: silhouette_mean=0.420746, so_diem=9
- Cluster 122: silhouette_mean=0.651362, so_diem=3
- Cluster 123: silhouette_mean=0.579606, so_diem=13
- Cluster 124: silhouette_mean=0.561875, so_diem=10
- Cluster 125: silhouette_mean=0.420844, so_diem=10
- Cluster 126: silhouette_mean=0.691128, so_diem=12
- Cluster 127: silhouette_mean=0.684405, so_diem=7
- Cluster 128: silhouette_mean=0.486918, so_diem=11
- Cluster 129: silhouette_mean=0.672490, so_diem=18
- Cluster 130: silhouette_mean=0.587241, so_diem=20
- Cluster 131: silhouette_mean=0.832114, so_diem=6
- Cluster 132: silhouette_mean=0.451539, so_diem=5
- Cluster 133: silhouette_mean=0.482489, so_diem=6
- Cluster 134: silhouette_mean=0.573836, so_diem=36
- Cluster 135: silhouette_mean=0.531006, so_diem=18
- Cluster 136: silhouette_mean=0.487482, so_diem=17
- Cluster 137: silhouette_mean=0.510035, so_diem=25
- Cluster 138: silhouette_mean=0.807517, so_diem=12
- Cluster 139: silhouette_mean=0.439953, so_diem=31
- Cluster 140: silhouette_mean=0.600317, so_diem=13
- Cluster 141: silhouette_mean=0.545385, so_diem=13
- Cluster 142: silhouette_mean=0.599078, so_diem=19
- Cluster 143: silhouette_mean=0.597392, so_diem=23
- Cluster 144: silhouette_mean=0.558301, so_diem=28
- Cluster 145: silhouette_mean=0.607475, so_diem=15
- Cluster 146: silhouette_mean=0.654574, so_diem=15
- Cluster 147: silhouette_mean=0.446992, so_diem=20
- Cluster 148: silhouette_mean=0.494895, so_diem=30
- Cluster 149: silhouette_mean=0.382639, so_diem=6
- Cluster 150: silhouette_mean=0.747799, so_diem=48
- Cluster 151: silhouette_mean=0.549984, so_diem=51
- Cluster 152: silhouette_mean=0.541036, so_diem=43
- Cluster 153: silhouette_mean=0.604896, so_diem=46
- Cluster 154: silhouette_mean=0.978853, so_diem=5
- Cluster 155: silhouette_mean=0.333458, so_diem=6
- Cluster 156: silhouette_mean=0.624949, so_diem=18
- Cluster 157: silhouette_mean=0.685773, so_diem=15
- Cluster 158: silhouette_mean=0.389453, so_diem=5
- Cluster 159: silhouette_mean=0.655790, so_diem=16
- Cluster 160: silhouette_mean=-0.008298, so_diem=2
- Cluster 161: silhouette_mean=0.510399, so_diem=6
- Cluster 162: silhouette_mean=0.543463, so_diem=12
- Cluster 163: silhouette_mean=0.608901, so_diem=12
- Cluster 164: silhouette_mean=0.390448, so_diem=12
- Cluster 165: silhouette_mean=0.616883, so_diem=20
- Cluster 166: silhouette_mean=0.426037, so_diem=15
- Cluster 167: silhouette_mean=0.520900, so_diem=11
- Cluster 168: silhouette_mean=0.417588, so_diem=8
- Cluster 169: silhouette_mean=0.634344, so_diem=35
- Cluster 170: silhouette_mean=0.733977, so_diem=3
- Cluster 171: silhouette_mean=0.413864, so_diem=21
- Cluster 172: silhouette_mean=0.563817, so_diem=19
- Cluster 173: silhouette_mean=0.622732, so_diem=6
- Cluster 174: silhouette_mean=0.578910, so_diem=11
- Cluster 175: silhouette_mean=0.638531, so_diem=12
- Cluster 176: silhouette_mean=0.274111, so_diem=6
