[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.462119

Silhouette trung bình theo từng cluster:
- Cluster 111: silhouette_mean=0.438649, so_diem=402
- Cluster 112: silhouette_mean=0.214254, so_diem=330
- Cluster 113: silhouette_mean=0.428070, so_diem=509
- Cluster 114: silhouette_mean=0.853794, so_diem=44
- Cluster 115: silhouette_mean=0.487387, so_diem=193
- Cluster 116: silhouette_mean=0.809567, so_diem=79
- Cluster 117: silhouette_mean=0.462744, so_diem=800
- Cluster 118: silhouette_mean=0.671839, so_diem=111
- Cluster 119: silhouette_mean=0.675100, so_diem=205
- Cluster 120: silhouette_mean=0.340463, so_diem=256
- Cluster 121: silhouette_mean=0.518810, so_diem=477
- Cluster 122: silhouette_mean=0.514964, so_diem=58
- Cluster 123: silhouette_mean=0.327163, so_diem=372
- Cluster 124: silhouette_mean=0.329349, so_diem=364
- Cluster 125: silhouette_mean=0.531090, so_diem=135
- Cluster 126: silhouette_mean=0.982222, so_diem=69
- Cluster 127: silhouette_mean=0.542187, so_diem=178
- Cluster 128: silhouette_mean=0.604217, so_diem=141
- Cluster 129: silhouette_mean=0.348254, so_diem=209
- Cluster 130: silhouette_mean=0.506580, so_diem=246
- Cluster 131: silhouette_mean=0.339265, so_diem=235
- Cluster 132: silhouette_mean=0.305216, so_diem=271
- Cluster 133: silhouette_mean=0.542238, so_diem=90
- Cluster 134: silhouette_mean=0.441730, so_diem=145
- Cluster 135: silhouette_mean=0.433124, so_diem=186
- Cluster 136: silhouette_mean=0.974779, so_diem=180
- Cluster 137: silhouette_mean=0.407491, so_diem=380
- Cluster 138: silhouette_mean=0.769024, so_diem=162
- Cluster 139: silhouette_mean=0.403369, so_diem=267
- Cluster 140: silhouette_mean=0.368773, so_diem=406
- Cluster 141: silhouette_mean=0.448865, so_diem=227
- Cluster 142: silhouette_mean=0.866697, so_diem=34
- Cluster 143: silhouette_mean=0.898031, so_diem=81
- Cluster 144: silhouette_mean=0.577015, so_diem=152
- Cluster 145: silhouette_mean=0.814758, so_diem=282
- Cluster 146: silhouette_mean=0.597849, so_diem=286
- Cluster 147: silhouette_mean=0.297331, so_diem=262
- Cluster 148: silhouette_mean=0.429600, so_diem=349
- Cluster 149: silhouette_mean=0.454492, so_diem=492
- Cluster 150: silhouette_mean=0.534874, so_diem=99
- Cluster 151: silhouette_mean=0.356375, so_diem=173
- Cluster 152: silhouette_mean=0.555170, so_diem=170
- Cluster 153: silhouette_mean=0.576399, so_diem=166
- Cluster 154: silhouette_mean=0.915914, so_diem=48
- Cluster 155: silhouette_mean=0.352597, so_diem=171
- Cluster 156: silhouette_mean=0.575163, so_diem=146
- Cluster 157: silhouette_mean=0.328194, so_diem=406
- Cluster 158: silhouette_mean=0.944803, so_diem=70
- Cluster 159: silhouette_mean=0.915369, so_diem=207
- Cluster 160: silhouette_mean=0.833270, so_diem=135
- Cluster 161: silhouette_mean=0.885673, so_diem=103
- Cluster 162: silhouette_mean=0.818670, so_diem=194
- Cluster 163: silhouette_mean=0.471877, so_diem=407
- Cluster 164: silhouette_mean=0.541730, so_diem=280
- Cluster 165: silhouette_mean=0.837642, so_diem=300
- Cluster 166: silhouette_mean=0.502736, so_diem=130
