[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.428049

Silhouette trung bình theo từng cluster:
- Cluster 111: silhouette_mean=0.451478, so_diem=100
- Cluster 112: silhouette_mean=0.422102, so_diem=88
- Cluster 113: silhouette_mean=0.478290, so_diem=97
- Cluster 114: silhouette_mean=0.348699, so_diem=7
- Cluster 115: silhouette_mean=0.174401, so_diem=4
- Cluster 116: silhouette_mean=0.467741, so_diem=84
- Cluster 117: silhouette_mean=0.392613, so_diem=85
- Cluster 118: silhouette_mean=0.395891, so_diem=95
- Cluster 119: silhouette_mean=0.362505, so_diem=81
- Cluster 120: silhouette_mean=0.217410, so_diem=21
- Cluster 121: silhouette_mean=0.314494, so_diem=30
- Cluster 122: silhouette_mean=0.365552, so_diem=11
- Cluster 123: silhouette_mean=0.373886, so_diem=10
- Cluster 124: silhouette_mean=0.358266, so_diem=5
- Cluster 125: silhouette_mean=0.481291, so_diem=76
- Cluster 126: silhouette_mean=0.416621, so_diem=83
- Cluster 127: silhouette_mean=0.428290, so_diem=76
- Cluster 128: silhouette_mean=0.440705, so_diem=83
- Cluster 129: silhouette_mean=0.340386, so_diem=33
- Cluster 130: silhouette_mean=0.384718, so_diem=17
- Cluster 131: silhouette_mean=0.481948, so_diem=85
- Cluster 132: silhouette_mean=0.403820, so_diem=85
- Cluster 133: silhouette_mean=0.444786, so_diem=104
- Cluster 134: silhouette_mean=0.198471, so_diem=4
- Cluster 135: silhouette_mean=0.388338, so_diem=84
- Cluster 136: silhouette_mean=0.346191, so_diem=24
- Cluster 137: silhouette_mean=0.447695, so_diem=93
- Cluster 138: silhouette_mean=0.369832, so_diem=93
- Cluster 139: silhouette_mean=0.284028, so_diem=18
- Cluster 140: silhouette_mean=0.329779, so_diem=23
- Cluster 141: silhouette_mean=0.458615, so_diem=71
- Cluster 142: silhouette_mean=0.425382, so_diem=88
- Cluster 143: silhouette_mean=0.466612, so_diem=87
- Cluster 144: silhouette_mean=0.309077, so_diem=98
- Cluster 145: silhouette_mean=0.272671, so_diem=18
- Cluster 146: silhouette_mean=0.436078, so_diem=10
- Cluster 147: silhouette_mean=0.439096, so_diem=92
- Cluster 148: silhouette_mean=0.385086, so_diem=96
- Cluster 149: silhouette_mean=0.433333, so_diem=81
- Cluster 150: silhouette_mean=0.432228, so_diem=101
- Cluster 151: silhouette_mean=0.457554, so_diem=92
- Cluster 152: silhouette_mean=0.439163, so_diem=113
- Cluster 153: silhouette_mean=0.490734, so_diem=105
- Cluster 154: silhouette_mean=0.455254, so_diem=108
- Cluster 155: silhouette_mean=0.375156, so_diem=101
- Cluster 156: silhouette_mean=0.429451, so_diem=101
- Cluster 157: silhouette_mean=0.493588, so_diem=95
- Cluster 158: silhouette_mean=0.471494, so_diem=128
- Cluster 159: silhouette_mean=0.520508, so_diem=157
- Cluster 160: silhouette_mean=0.193280, so_diem=11
- Cluster 161: silhouette_mean=0.256890, so_diem=13
- Cluster 162: silhouette_mean=0.506476, so_diem=123
- Cluster 163: silhouette_mean=0.434013, so_diem=109
- Cluster 164: silhouette_mean=0.475240, so_diem=105
- Cluster 165: silhouette_mean=0.447490, so_diem=100
- Cluster 166: silhouette_mean=0.334758, so_diem=28
- Cluster 167: silhouette_mean=0.405440, so_diem=94
- Cluster 168: silhouette_mean=0.507447, so_diem=114
- Cluster 169: silhouette_mean=0.442259, so_diem=116
- Cluster 170: silhouette_mean=0.438099, so_diem=124
